EventID,Date,Promotion,Event,EventName,EventType,Location,CityTown,StateProvince,Country,MultiShowDay
67,2020-03-18,AEW,AEW Dark,AEW Dark #26,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
68,2020-03-25,AEW,AEW Dynamite,AEW Dynamite #25,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
69,2020-03-25,AEW,AEW Dark,AEW Dark #27,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
70,2020-04-01,AEW,AEW Dynamite,AEW Dynamite #26,Televised,"Norcross, Georgia, USA",Norcross,Georgia,USA,True
71,2020-04-01,AEW,AEW Dark,AEW Dark #28,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
72,2020-04-08,AEW,AEW Dynamite,AEW Dynamite #27,Televised,"Norcross, Georgia, USA",Norcross,Georgia,USA,True
73,2020-04-08,AEW,AEW Dark,AEW Dark #29,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
74,2020-04-15,AEW,AEW Dynamite,AEW Dynamite #28,Televised,"Norcross, Georgia, USA",Norcross,Georgia,USA,True
75,2020-04-15,AEW,AEW Dark,AEW Dark #30,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
76,2020-04-22,AEW,AEW Dynamite,AEW Dynamite #29,Televised,"Norcross, Georgia, USA",Norcross,Georgia,USA,True
77,2020-04-22,AEW,AEW Dark,AEW Dark #31,Televised,"Norcross, Georgia, USA",Norcross,Georgia,USA,True
78,2020-04-29,AEW,AEW Dynamite,AEW Dynamite #30,Televised,"Norcross, Georgia, USA",Norcross,Georgia,USA,True
79,2020-04-29,AEW,AEW Dark,AEW Dark #32,Televised,"Norcross, Georgia, USA",Norcross,Georgia,USA,True
80,2020-05-06,AEW,AEW Dynamite,AEW Dynamite #31,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
81,2020-05-06,AEW,AEW Dark,AEW Dark #33,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
82,2020-05-13,AEW,AEW Dynamite,AEW Dynamite #32,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
83,2020-05-13,AEW,AEW Dark,AEW Dark #34,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
84,2020-05-20,AEW,AEW Dynamite,AEW Dynamite #33,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
85,2020-05-20,AEW,AEW Dark,AEW Dark #35,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
86,2020-05-23,AEW,AEW Double Or Nothing  The Buy In,AEW Double Or Nothing 2020 - The Buy In,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
87,2020-05-23,AEW,AEW Double Or Nothing,AEW Double Or Nothing 2020,PLE/PPV,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
88,2020-05-27,AEW,AEW Dynamite,AEW Dynamite #34,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
89,2020-05-27,AEW,AEW Dark,AEW Dark #36,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
90,2020-05-28,AEW,AEW Dynamite,AEW Dynamite #35,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
91,2020-05-28,AEW,AEW Dark,AEW Dark #37,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
92,2020-06-10,AEW,AEW Dynamite,AEW Dynamite #36,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
93,2020-06-10,AEW,AEW Dark,AEW Dark #38,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
94,2020-06-11,AEW,AEW Dynamite,AEW Dynamite #37,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
95,2020-06-11,AEW,AEW Dark,AEW Dark #39,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
96,2020-06-24,AEW,AEW Dynamite,AEW Dynamite #38,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
97,2020-06-24,AEW,AEW Dark,AEW Dark #40,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
98,2020-07-01,AEW,AEW Dynamite,AEW Dynamite #39 - Fyter Fest 2020,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
99,2020-07-01,AEW,AEW Dark,AEW Dark #41,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
100,2020-07-02,AEW,AEW Dynamite,AEW Dynamite #40 - Fyter Fest 2020,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
101,2020-07-02,AEW,AEW Dark,AEW Dark #42,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
102,2020-07-15,AEW,AEW Dynamite,AEW Dynamite #41 - Fight For The Fallen 2020,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
103,2020-07-15,AEW,AEW Dark,AEW Dark #43,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
104,2020-07-16,AEW,AEW Dynamite,AEW Dynamite #42,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
105,2020-07-16,AEW,AEW Dark,AEW Dark #44,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
106,2020-07-29,AEW,AEW Dynamite,AEW Dynamite #43,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
107,2020-07-29,AEW,AEW Dark,AEW Dark #45,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
108,2020-07-29,AEW,AEW Women's Tag Team Cup Tournament,AEW Women's Tag Team Cup Tournament - The Deadly Draw #1,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
109,2020-07-29,AEW,AEW Women's Tag Team Cup Tournament,AEW Women's Tag Team Cup Tournament - The Deadly Draw #2,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
110,2020-07-29,AEW,AEW Women's Tag Team Cup Tournament,AEW Women's Tag Team Cup Tournament - The Deadly Draw #3,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
111,2020-07-30,AEW,AEW Dynamite,AEW Dynamite #44,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
112,2020-07-30,AEW,AEW Dark,AEW Dark #46,Televised,"Jacksonville, Florida, USA",Jacksonville,Florida,USA,True
